	ndop
691	1856.0
692	
693	1869.0
694	1862.0
695	1790.0
696	1877.0
697	1800.0
698	1716.0
699	1774.0
700	
701	1856.0
702	1724.0
703	
704	1877.0
705	
706	1887.0
707	1893.0
708	1890.0
709	
710	1893.0
711	1810.0
712	1898.0
713	1809.0
714	1811.0
715	1856.0
716	1890.0
717	1881.0
718	1852.0
719	1899.0
720	1873.0
721	1891.0
722	1839.0
723	1889.0
724	1879.0
725	
726	1848.0
727	1874.0
728	1837.0
729	1867.0
730	1896.0
731	1893.0
732	1830.0
733	1880.0
734	
735	1879.0
736	1890.0
737	1892.0
738	1830.0
739	1876.0
740	1880.0
741	1895.0
742	1896.0
743	1880.0
744	1871.0
745	1889.0
746	1864.0
747	1858.0
748	1896.0
749	1874.0
750	1880.0
751	1867.0
752	1881.0
753	1875.0
754	1864.0
755	1896.0
756	1897.0
757	1883.0
758	1860.0
759	1882.0
760	
761	1882.0
762	1790.0
763	1896.0
764	1874.0
765	
766	1899.0
767	1897.0
768	1858.0
769	1866.0
770	1867.0
771	1889.0
772	1899.0
773	1899.0
774	
775	1865.0
776	1896.0
777	1894.0
778	1899.0
779	1897.0
780	1868.0
781	1875.0
782	1845.0
783	1852.0
784	
785	1802.0
786	
787	1879.0
788	1882.0
789	1842.0
790	1850.0
791	1867.0
792	1898.0
793	1847.0
794	1796.0
795	1864.0
796	1892.0
797	1847.0
798	1798.0
799	1885.0
800	1861.0
801	1862.0
802	1896.0
803	1827.0
804	1879.0
805	1828.0
806	1842.0
807	1863.0
808	1888.0
809	1870.0
810	1877.0
811	1863.0
812	
813	1895.0
814	1876.0
815	1872.0
816	1897.0
817	1896.0
818	1851.0
819	1896.0
820	1881.0
821	
822	1837.0
823	1896.0
824	1857.0
825	1803.0
826	
827	1868.0
828	1864.0
829	1890.0
830	1849.0
831	1893.0
832	1895.0
833	1891.0
834	1852.0
835	
836	1869.0
837	
838	
839	
840	1871.0
841	
842	1896.0
843	1899.0
844	1872.0
845	1866.0
846	1873.0
847	1897.0
848	1886.0
849	1893.0
850	1851.0
851	1850.0
852	1886.0
853	1845.0
854	1869.0
855	1876.0
856	1898.0
857	1896.0
858	1896.0
859	
860	1825.0
861	
862	1882.0
863	1890.0
864	1810.0
865	1868.0
866	1871.0
867	1829.0
868	1773.0
869	1894.0
870	1826.0
871	1890.0
872	1875.0
873	1885.0
874	
875	1891.0
876	
877	
878	1896.0
879	1896.0
880	1787.0
881	1788.0
882	1890.0
883	1891.0
884	1893.0
885	1870.0
886	1830.0
887	1883.0
888	1882.0
889	1898.0
890	1891.0
891	1873.0
892	1816.0
893	1889.0
894	1814.0
895	1607.0
896	1889.0
897	1865.0
898	
899	1892.0
900	1870.0
901	1861.0
902	
903	1893.0
904	1826.0
905	1890.0
906	1854.0
907	1890.0
908	1873.0
909	
910	
911	
912	1808.0
913	1856.0
914	1879.0
915	1894.0
916	1899.0
917	1879.0
918	1893.0
919	1882.0
920	1884.0
921	1847.0
922	1868.0
923	1854.0
924	1898.0
925	1898.0
926	
927	
928	1856.0
929	1886.0
930	1869.0
931	1871.0
932	1896.0
933	1895.0
934	
935	1885.0
936	1886.0
937	1889.0
938	1878.0
939	
940	1895.0
941	1878.0
942	
943	1833.0
944	1894.0
945	1819.0
946	
947	1850.0
948	
949	1873.0
950	1884.0
951	1861.0
952	1884.0
953	1880.0
954	1886.0
955	1875.0
956	1825.0
957	1821.0
958	1864.0
959	1852.0
960	1889.0
961	1884.0
962	1888.0
963	1863.0
964	1883.0
965	1796.0
966	
967	1882.0
968	1899.0
969	1860.0
970	1899.0
971	1833.0
972	1843.0
973	1898.0
974	1828.0
975	1811.0
976	1881.0
977	1882.0
978	1801.0
979	
980	1881.0
981	1871.0
982	1867.0
983	1867.0
984	1876.0
985	1899.0
986	1883.0
987	1896.0
988	1878.0
989	
990	1657.0
991	1877.0
992	1897.0
993	
994	
995	1792.0
996	1842.0
997	1890.0
998	1827.0
999	1831.0
1000	1842.0
1001	1851.0
1002	1876.0
1003	1853.0
1004	1857.0
1005	1863.0
1006	1869.0
1007	
1008	1894.0
1009	1863.0
1010	1858.0
1011	1861.0
1012	1883.0
1013	1858.0
1014	1801.0
1015	1891.0
1016	1813.0
1017	1891.0
1018	1838.0
1019	1868.0
1020	1874.0
1021	1878.0
1022	1879.0
1023	1858.0
1024	1860.0
1025	1890.0
1026	1841.0
1027	1869.0
1028	1840.0
1029	1895.0
1030	1850.0
1031	1876.0
1032	1882.0
1033	1883.0
1034	
1035	1885.0
1036	1897.0
1037	1898.0
1038	1898.0
1039	1898.0
1040	1894.0
1041	1884.0
1042	
1043	
1044	1896.0
